Matched Part Number,Matched Manufacturer,Description,Selected Offers,Selected Offers (Distributor Link),Unit Price,Total Quantity,Total Price
113991114,Seeed Studio,"Development Board, 32 Bit, Xtensa LX7;",Mouser 713-113991114,https://octopart.com/opatz8j6/a1?t=iGINWb-pOFoDR6J4OBaV-c_PxjBp4hYKZUA_Jv6fUrz0qgPM3kMQCfNabeqoILV3gMVdSeLOqTMmWgJE6dpeTdfQe_umBKLnbMFIkGVaOZfruk_JCTi1YlxBCt-4ZfZUM15JSNk5DvOTbllupusxp0vuGl3jC7J0p2fP5iQJRrAz7A8F43ccIF2FvbYfko1sD6Kn6h7ZQJeQ3bI729eyCb4ICYwOiAyPkE_t22fTRMsU-DrP7d2z8_6rH3yx4MaKhSPnY65W2ZKrablQA6a80WEvTSWY,7.49,1,7.49
4438,Adafruit Industries,Adafruit Lsm6Dsox 6 Dof Accelerometer And Gyroscope - Stemma Qt/Qwiic |Adafruit 4438,Mouser 485-4438,https://octopart.com/opatz8j6/a1?t=dYavXPmRbDouH1PqMtDeK5C1tSBDqyXknGCRX018flR38VF0Clh3SA4J9tAS8RoQklZvtBw4XrLBpXHMJIYvO435SewpHm-DGX4fyfCMTn690CJiNmeLitvp_J7y28JXTo6gbVx4dWgFQreHpSL2VA5RGYqLhYaSY_JctQBwaXtY_qqkmvV_wTJ3adFjp9Yt9H2JvqRQxqVI8562DmbgqifFB4bHqaSB3o9JXT5aoGFXZR4lcYoCt_RGmqLnR2ZBB9VXBenjOvxkW06rvS4Top3KCkBf,11.95,1,11.95
3101,Adafruit Industries,Product Type = Button / Length mm = 7.8 / Width mm = 7.8 / Height mm = 4.9 / Weight mg = 100,Mouser 485-3101,https://octopart.com/opatz8j6/a1?t=ZtYxyk4buNZf9HY-1JJq-TPvez9rpRSv9AnUqqR3vESkDxdVZWq8KMPMYE0kJIiP46EhlIaym6ZkBhexLQcLN-b4mMYpiM-qkK7fh-I2yGlfW7C1mkuSrWPYz5DSVrjReCpREKvfygEV8ZM5C23ka3c6jdj-LPtc1gnuxIcBAlDAEcXfdHVh0RFeHiYHpoq7GwbzIbuXf9OvjyOPdvQcxdirgLEtY-MNsttMXX1rCHzfj6c6bLY_tBaYyaT7WQt1-cr9Nv56cz-T30FtnyyuRGShhrY,1.95,1,1.95
4236,Adafruit Industries,Lithium Ion Polymer Battery with Short Cable - 3.7V 420mAh | Adafruit Industries 4236,Mouser 485-4236,https://octopart.com/opatz8j6/a1?t=Z-cFrgDLue4pMpH9Pjr4lPRdL-9omjGsQNsv6JeffIHTgp67HSZpydmMKnAgIZ4w1gSun4Tr-yWzn_awlh2XosEJ0KxjSciKZ58AnDryTrj7aKs5t4J3duUJ_Fpz7lqfbWl21NJMHQ5RE5Iv72WXWW4gKwxz8SS4Czuu21M0s-UOcvUEv5NR32ZP6gc4xO2JtLR1jYmPmVwbXNY86KUrcDzLXhsyIQKdXJkdfMjqn0b7T6ZW6SVPnG2_hpsvxXrO2gyHVmycAYKCj0I9KCHS9BzoJSkc,6.95,1,6.95
3814,Adafruit Industries,JST PH 2-Pin Cable Male Header 200mm | Adafruit Industries 3814,Mouser 485-3814,https://octopart.com/opatz8j6/a1?t=xkpZEG8-Qsm_tFXfRUf0PEf6CesFGZ6OxT1JiQdJrmKjT5QGzvXX2qAhK772ko3YhYvftpm-e7Q1VFbCQZ8xX0cbeHusWiakp-ptIU5lgrhTV1OgBRih6QTT6ZJHN1GALxj9j9jI0p9_kpPPf0abMDyN7eYMEWS02j09mhRlIruIOxFU9hzwKGK-m8dzg8LObchN0qw5t2GBg7FE4HiJDpxZ-3mverTKM_CXuI9TwLOurw-CUAVSqcEDyDOenlCcqIwDt8eLcRWEXsPzQ4mHJyi5TK4,0.75,1,0.75
99M0111-24-9,TE Connectivity / Raychem,"Hook-Up Wire, Type99(R) Primary Wire White 24 AWG | TE Connectivity 99M0111-24-9",Mouser 650-99M0111-24-9,https://octopart.com/opatz8j6/a1?t=Ns-dX9HA_8R3_XDTJzSakAcXoz2ePhvdZYvFjFsMdNEp491dyJbjK9EUbvHaT9kNnqt_gi9g2C3uCv7m1gcxRtHDDWcS56ZsZnmRGYx3R6DgKW2u103AIcLKOqB08kejn8lPRA_xXN149lowVVnJe_9OVUq_B83inQsym4YilZs-qhXNfQVZf9G-jQ1xMeDiQcP2bjP7t4SzPeWfyGZ6H0Ik0jKviRIpY1EmKdgZYtm8wphO3dWwY926yoB9i3srxTkNR9F2nze4C6WBqQTjSJUjuXo,0.95,3,2.85
50M025045I005,Essentra,"Screws & Fasteners 90 Phillips CSK Screw, M2.5 X .45 Thread, 5mm Lg, Flat, Natural, Nylon",Mouser 144-50M025045I005,https://octopart.com/opatz8j6/a1?t=pZCgxuvQWyc8RYCiDzuzQo3qqC22T-oWTCVSkPP_l8Yhkd6-vvuWTUOQsGh3Wcrm-gC9-zyTvokq2LOvWUshOSPMx63BuPzcuceuTpNWDqeM0brYkbMFbJ6YLxa22tIoXf7Y5aAFiK4AA9hALZto9aNJkpo2p203TwPDg_rauIg2bD1NVf8qbz__Lj0WAiF8MrivCUwN-ZQq3CRMIRmUjJgjzXaL0xBkocaMHCPuhDBIh_sEzrsveRDTFPDrf2RL8C7crUMPJ6NSfDjCwremq7kGAkQM,0.11,2,0.22
SLW-1298856-5A-RA-N-D,Same Sky,Switch Slide ON ON SPDT Raised Slide 0.3A 50VDC 10000Cycles PC Pins Thru-Hole,Mouser 179-SLW12988565ARAND,https://octopart.com/opatz8j6/a1?t=rX5jNHe9JtIGQfXOs1VLqbB_Mi7Z2WxOh4_kc3ONFL0PU6gpEjVTJtcGq9r3zYKdeOhGFZg7xyb4NlZl4R4oZzmWmU1cqGMoVDa-vZzpjOQDf9jwKzMaVsG1Hn2pg8AL8gymTI_W2qLRfqZZj761PW2bdhDw5tkYj-qOKyr2RXoM3Nhqlavl7cKJMce9q73mplivq8uupjIpd2U5PAEQU_ub14rDRV3IGTV6ytjUdmSjgq2fiQOo3VWlUN0CRhsK-XVbEKo-42xM_NcHR0dMiaEfgKYmPQ,0.35,1,0.35
7 in/ 22-30 AWG,Dowell,DOWELL 22-30 AWG Wire Stripper Wire Stripping Tool Wire Cutter And Multi-Function Hand Tool,Amazon,https://a.co/d/gpYgt5D,6.99,1,6.99
889551102049,Emate,OVONIC Lipo Safe Bag Fireproof Explosionproof Bag Large Capacity Lipo Battery Storage Guard Safe Pouch for Charge & Storage,Amazon,https://a.co/d/eOVSK29,12.99,1,12.99
